3Ltr,Company,Country,Telephony
SBO,STABO AIR LIMITED,ZAMBIA,STABAIR
SBP,SHAHIN BALL PARVAZ,IRAN (ISLAMIC REPUBLIC OF),SHAHIN BALL
SBQ,SMITHKLINE BEACHAM CLINICAL LABS,UNITED STATES,SKIBBLE
SBR,"SABER AVIATION INC. (CHARLOTTE, NC)",UNITED STATES,FREIGHTER
SBS,"SEABORNE AIRLINES (CHRISTIANSTED, USVI)",UNITED STATES,SEABORNE
SBT,TAFTAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),TAFTAN
SBU,SAINT BARTH COMMUTER,FRANCE,BLACK FIN
SBV,SKYBLUE AVIATION LTD,UNITED KINGDOM,RIPPLE
SCA,SIERRA CHARLIE AVIATION,UNITED STATES,AVIATOR
SCB,SAO PAULO AIR TRANSPORTS LTDA,BRAZIL,SP CARGO
SCC,"SEACOAST AIRLINES, INC. (CLEARWATER, FL)",UNITED STATES,SEA-COASTER
SCD,ASSOCIATED AVIATION LIMITED,NIGERIA,ASSOCIATED
SCE,"SCENIC AIRLINES, INC. (N. LOS VEGAS, NV)",UNITED STATES,SCENIC
SCF,"SOCOFER, LDA",ANGOLA,SOCOFER
SCG,"SERVICIOS AEREOS COSTA CALIDA, S.L.",SPAIN,COSTA CALIDA
SCH,SEYCHELLES AIRLINES PTY LTD,SEYCHELLES,OCEAN BIRD
SCI,SERVICIOS AEREOS SAN CRISTOBAL,MEXICO,SAN CRISTOBAL
SCK,SKY CAM,FRANCE,SKYCAM
SCL,SHELL CANADA,CANADA,SHELL CANADA
SCM,"AMERICAN JET INTERNATIONAL CORP. (HOUSTON, TX)",UNITED STATES,SCREAMER
SCN,"TWC AVIATION, INC.",UNITED STATES,SILICON
SCO,AIR CHARTER SCOTLAND EUROPE LTD,MALTA,BRAVEHEART
SCP,HELICOPTER.PL S.A.,POLAND,SKY COPTER
SCQ,OSM AVIATION ACADEMY AB,SWEDEN,SCAVAC
SCR,"SILVER CLOUD AIR GMBH, SCHIFFERSTADT",GERMANY,SILVER CLOUD
SCS,CHARTERS (SOUTH AFRICAN NON SCHEDULED AIRWAYS (PTY) LTD),SOUTH AFRICA,SOUTHERN CHARTERS
SCT,SAAB-AIRCRAFT AB,SWEDEN,SAAB-CRAFT
SCU,"SPARTAN EDUCATION, LLC DBA SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY",UNITED STATES,SKELLY
SCX,"MN AIRLINES, LLC, D/B/A SUN COUNTRY AIRLINES (MENDOTA HEIGHTS, MN)",UNITED STATES,SUN COUNTRY
SCY,SCD AVIATION,GABON,
SDA,SOGDIANA,TAJIKISTAN,
SDB,"SHORELINE AVIATION, LLC (OXFORD, CT)",UNITED STATES,SHORE AIR
SDC,"SUNRISE AIRLINES (PAGE, AZ)",UNITED STATES,SUNDANCE
SDD,"R I C INC., D/B/A SKYMASTER AIR TAXI (LACONIA, NH)",UNITED STATES,SKY DANCE
SDE,AIR PARTNERS CORP.,CANADA,STAMPEDE
SDG,"STAR AIR, M/S GHODAWAT ENTERPRISES PVT. LTD.",INDIA,HI STAR
SDI,"SERVICIOS DINAMICOS DE AVIACION, S.A. DE C.V.",MEXICO,SERVI DINAMIC
SDK,SOCIEDAD AEREA DEL CAQUETA LTDA,COLOMBIA,SADELCA
SDL,SKYDRIFT LTD,UNITED KINGDOM,SKYDRIFT
SDM,"ROSSIYA AIRLINES, JOINT STOCK COMPANY",RUSSIAN FEDERATION,ROSSIYA
SDN,SPIRIT OF AFRICA AIRLINES,SUDAN,BLUE NILE
SDO,"AEROLINEAS SANTO DOMINGO, S.A.",DOMINICAN REPUBLIC,AERO DOMINGO
SDQ,"SERVICIO Y MANTENIMIENTO TECNICO DQ, S.A. DE C.V.",MEXICO,MEXTECNICO
SDR,SUNDAIR GMBH,GERMANY,SUNDAIR
SDS,CAA TRAINING STANDARDS,UNITED KINGDOM,STANDARDS
SDT,"SERVICIOS AEREOS DEL ATLANTICO, S.L.",SPAIN,SADAT
SDU,"DUMONT AIRCRAFT CHARTER, LLC",UNITED STATES,SANTOS
SDV,SERVICIOS AEREOS DEL VAUPES LTDA.,COLOMBIA,SELVA
SDX,"SERVICIO TECNICO AERO DE MEXICO, S.A. DE C.V.",MEXICO,SERVICIO TECNICO
SDY,"ISLAND EXPRESS (FT. LAUDERDALE, FL)",UNITED STATES,SANDY ISLE
SDZ,SUDAN PEZETEL FOR AVIATION,SUDAN,SUDANA
SEA,"SOUTHEAST AIR, INC. (NEW BEDFORD, MA)",UNITED STATES,SOUTHEAST AIR
SEC,"3D AVIATION, INC. (HELENA, MT)",UNITED STATES,SECUREX
SED,"SEDONA AIR CENTER (WEST SEDONA, AZ)",UNITED STATES,SEDONA AIR
SEE,PEREGRINE AERIAL SURVEYS INC.,CANADA,SEEKER
SEH,SKY EXPRESS S.A.,GREECE,AIR CRETE
SEI,"TRANSPORTES AEREOS SIERRA MADRE, S.A. DE C.V.",MEXICO,TRANSPORTE SIERRA
SEJ,SPICEJET,INDIA,SPICEJET
SEK,STAR EAST AIRLINE,ROMANIA,EAST RIDER
SEL,"SENTEL CORPORATION (NEWPORT NEWS, VA)",UNITED STATES,SENTEL
SEM,"CAPE CENTRAL AIRWAYS, INC. (CAPE GIRARDEAU, MO)",UNITED STATES,SEMO
SEN,SENOR AIR,MEXICO,SENIOR AIR
SEO,SELCON AIRLINES LTD,NIGERIA,SELCON AIR
SEP,SERENE AIR,PAKISTAN,SERENE
SES,"SERVICIO AEREO SALTILLO, S.A. DE C.V.",MEXICO,SERVISAL
SET,SOLENTA AVIATION (PTY) LTD,SOUTH AFRICA,SOLENTA
SEU,SKYUP MT,MALTA,SKY MALTA
SEV,"SERAIR TRANSWORLD PRESS, S.L.",SPAIN,CARGOPRESS
SEW,SKYWARD EXPRESS,KENYA,SKYWARD EXPRESS
SEY,AIR SEYCHELLES,SEYCHELLES,SEYCHELLES
SFB,HIS MAJESTY THE SULTAN S FLIGHT,BRUNEI DARUSSALAM,
SFD,SPEED FLY,SPAIN,DRACO
SFE,TRAVIS COUNTY EMS,UNITED STATES,STAR FLIGHT
SFF,"SAFEWING AVIATION COMPANY, INC. (KANSAS CITY, MO)",UNITED STATES,SWIFTWING
SFH,"NORTH AMERICAN JET CHARTER GROUP, LLC (WHEELING, IL)",UNITED STATES,STARFISH
SFI,"THE SKY, INC.",REPUBLIC OF KOREA,SPACE STAR
SFJ,STAR FLYER INC,JAPAN,STARFLYER
SFL,SWIFT AIR,BAHRAIN,SWIFTLINE
SFM,A-SAFAR AIR SERVICES LIMITED,NIGERIA,AIR SAFAR
SFN,SAFIRAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),SAFIRAN
SFR,SAFAIR (PTY.) LTD,SOUTH AFRICA,CARGO
SFS,SWISS FLIGHT SERVICES,SWITZERLAND,TOPO
SFT,"SKYFREIGHT, INC. (SEATTLE, WA)",UNITED STATES,SKYFREIGHT
SFU,SOLENT FLIGHT LIMITED,UNITED KINGDOM,SAINTS
SFV,"SAFE SERVICIOS AEREOS, S.A. DE C.V.",MEXICO,SAFE SERVICIOS
SFW,SAFI AIRWAYS,AFGHANISTAN,SAFI AIRWAYS
SFX,SPORTSMAN S LLC. / SWAMP FOX LLC.,UNITED STATES,SWAMP FOX
SFY,"SKYBORNE AIRLINE ACADEMY, INC.",UNITED STATES,SKY FLITE
SGA,SOL LINEAS AEREAS URUGUAYAS (CUWEROY S.A.),URUGUAY,SOL URUGUAY
SGB,"SKY KING, INC. (SACRAMENTO, CA)",UNITED STATES,SONGBIRD
SGC,SPEC ENERGY,SAN MARINO,SPEC WINGS
SGD,"SOUTH EAST ASIAN AIRLINES (SEAIR) INTERNATIONAL, INC.",PHILIPPINES,AIR BLUE
SGH,SERVISAIR LTD.,UNITED KINGDOM,SERVISAIR
SGO,ADMIRAL BEVERAGE CORPORATION,UNITED STATES,SPEEDGOAT
SGP,SAGOLAIR TRANSPORTES EJECUTIVOS S.L.,SPAIN,SAGOLAIR
SGQ,SAUDIGULF AIRLINES,SAUDI ARABIA,SAUDI GOLD
SGT,STARGATE AVIATION CC,SOUTH AFRICA,STARGATE
SGU,SOL DEL PARAGUAY LINEAS AEREAS S.A.,PARAGUAY,SOLPARAGUAYO
SHA,SHREE AIRLINES,NEPAL,SHREE-AIR
SHC,"SKY HARBOR AIR SERVICE INC. (CHEYENNE, WY)",UNITED STATES,SKY HARBOR CHEYENNE
SHD,SAHARA AIRLINES,ALGERIA,
SHE,SHELL AIRCRAFT LTD.,UNITED KINGDOM,PECTEN
SHF,SUPPORT HELICOPTER FORCE,UNITED KINGDOM,VORTEX
SHG,SHOPRITE GROUP LTD,UNITED KINGDOM,SHOP AIR
SHH,SKY HIGH AVIATION SERVICES,DOMINICAN REPUBLIC,SKY HIGH
SHI,SEPEHRAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),SHIRAZI
SHJ,SHARJAH RULER S FLIGHT,UNITED ARAB EMIRATES,SHARJAH
SHK,SHARP INC.,REPUBLIC OF KOREA,
SHL,SAMSON AVIATION LTD,UNITED KINGDOM,SAMSON
SHM,SHELTAM AVIATION CC,SOUTH AFRICA,SHELTAM
SHN,SHAHEEN AIRPORT SERVICES,PAKISTAN,SUGAR ALFA
SHO,SHEREMETYEVO-CARGO,RUSSIAN FEDERATION,
SHP,SAF HELICOPTERES,FRANCE,SAF
SHQ,SHANGHAI AIRLINES CARGO INTERNATIONAL COMPANY,CHINA,SHANGHAI CARGO
SHS,SHIRAK AVIA LLC,ARMENIA,SHIRAK
SHT,BRITISH AIRWAYS SHUTTLE,UNITED KINGDOM,SHUTTLE
SHU,AURORA AIRLINES,RUSSIAN FEDERATION,AURORA
SHV,"SHAVANO AIR, INC. (PONCHA SPRINGS, CO)",UNITED STATES,SHAVANO
SHW,KN HELICOPTERS A/S,DENMARK,SHADOW
SHX,SLIM AVIATION SERVICES LIMITED,NIGERIA,SLIM AIR
SHZ,"AIRSHARES ELITE (ATLANTA, GA)",UNITED STATES,ELITE SHARES
SIA,SINGAPORE AIRLINES LIMITED,SINGAPORE,SINGAPORE
SIB,SEA AIR LTD.,SLOVENIA,SEA AIR
SIC,"SFS AVIATION CO., LTD",THAILAND,SICHART
SID,SIDERAL LINHAS AEREAS LTDA.,BRAZIL,SIDERAL
SIE,"SIERRA EXPRESS (RENO, NV)",UNITED STATES,SEREX
SIF,AIR SIAL LTD,PAKISTAN,AIR SIAL
SIG,SIGNATURE FLIGHT SUPPORT LTD,UNITED KINGDOM,
SIJ,SECO INTERNATIONAL INC.,JAPAN,
SIL,"SILVER AIRWAYS CORP. (FORT LAUDERDALE, FL)",UNITED STATES,SILVER WINGS
SIO,SIRIO S.P.A.,ITALY,SIRIO
SIQ,ATMOSPHERIC RESEARCH BOULDER,UNITED STATES,SCIENCE QUEST
SIR,"SALAIR, INC. (SEATTLE, WA)",UNITED STATES,SALAIR
SIS,"SCOTT AVIATION, LLC (FRESNO, CA)",UNITED STATES,SILVERSPEED
SIT,SITA - SOCIETE INTERNATIONALE DE TELECOMMUNICATIONS AERONAUTIQUES,BELGIUM,
SIV,SOLENTA AVIATION - CI,COTE D IVOIRE,SOLENT-IVOIRE
SIX,"SIXT RENTA CAR, LLC",UNITED STATES,DRIVE ORANGE
SIY,EXECUTIVE AVIATION CORPORATION,UNITED STATES,SERENITY
SIZ,"AERO SILZA, S.A. DE C.V.",MEXICO,AEROSILZA
SJA,"SAWYER AVIATION, LLC",UNITED STATES,SAWYER
SJB,SKS AIRWAYS,MALAYSIA,SOUTHERN TIGER
SJC,"SERVICIOS EJECUTIVOS CONTINENTAL, S.A. DE C.V.",MEXICO,SERVIEJECUTIVO
SJD,SINO JET LIMITED,CHINA,AIR SINO
SJE,"SUN AIR JETS (MCCLELLAN, CA)",UNITED STATES,SUN JOURNEY
SJF,FLY SKYJET,NIGER,HARMATTAN
SJG,ALG GROUP LLC,UNITED STATES,SUMMER JET
SJJ,"SPIRIT JETS, LLC (CHESTERFIELD, MO)",UNITED STATES,SPIRIT JET
SJK,"NUSANTARA AIR CHARTER, PT.",INDONESIA,NUSANTARA
SJL,SKYJET,KYRGYZSTAN,KAMILA
SJM,SINO JET MANAGEMENT LTD,CHINA,SINO SKY
SJN,"RUGBY AVIATION, LLC DBA SAN JUAN AIRLINES",UNITED STATES,SAN JUAN
SJO,"SPRING JAPAN CO., LTD.",JAPAN,JEY SPRING
SJS,"SKYJETS & SUPPORT, S.A. DE C.V.",MEXICO,JET PORT
SJT,ASAJET AIRLINES,IRAN (ISLAMIC REPUBLIC OF),ASAJET AIRLINES
SJU,SKY JET,UGANDA,
SJV,PT. SUPER AIR JET,INDONESIA,PROSPER
SJX,"STARLUX AIRLINES CO., LTD",CHINA,STARWALKER
SJY,"SRIWIJAYA AIR, PT.",INDONESIA,SRIWIJAYA
SKA,PREMIER AVIATION GROUP LTD D/B/A SKYLAN AIRWAYS,JAMAICA,SKYLAN AIRWAYS
SKB,"SKYBUS AIRLINES, INC. (COLUMBUS, OH)",UNITED STATES,SKYBUS
SKC,SKYMASTER AIR LINES LTDA,BRAZIL,SKYMASTER AIR
SKD,"SKY HARBOR AIR SERVICE, INC. (OMAHA, NE)",UNITED STATES,SKY DAWG
SKE,"SKY TOURS, INC. (PORT CLINTON, OH)",UNITED STATES,SKYISLE
SKF,"SKYCRAFT, INC. (SEATTLE, WA)",UNITED STATES,SKYCRAFT
SKG,SKY GABON,GABON,SKY GABON
SKH,BRITISH SKY BROADCASTING LTD,UNITED KINGDOM,SKYNEWS
SKI,SKYKING LTD,UNITED KINGDOM,SKYKING
SKJ,SKY NET AIRLINE,ARMENIA,SKYNET AIR
SKK,ASKY,TOGO,ASKY AIRLINE
SKL,SKYCHARTER (MALTON) LIMITED,CANADA,SKYCHARTER
SKM,"FAYETTEVILLE FLYING SERVICE AND SCHEDULED SKYWAYS SYSTEM (FAYETTEVILLE, AR)",UNITED STATES,SKYTEM
SKN,"SKYLINE AVIATION SERVICES, INC. (BEAVER FALLS, PA)",UNITED STATES,SKYLINER
SKO,SCOTTISH AIRWAYS FLYERS LTD,UNITED KINGDOM,SKYWORK
SKP,SKYTRANS PTY LTD T/A SKYTRANS AIRLINES,AUSTRALIA,SKYTRANS
SKQ,"LABCORP, INC. (BURLINGTON, NC)",UNITED STATES,SKYLAB
SKR,SKYSCAPES AIR CHARTERS,SOUTH AFRICA,SKYSCAPES
SKS,SKY LINK AVIATION SERVICES,PAKISTAN,
SKT,SKYTROPIC,PANAMA,SKYTROPIC
SKU,SKY SERVICE,CHILE,AEROSKY
SKV,SKYSIDE GMBH,AUSTRIA,SKY SIDE
SKW,"SKY WEST AVIATION, INC. (ST. GEORGE, UT)",UNITED STATES,SKYWEST
SKX,SKY AIRLINE PERU S.A.C.,PERU,SKY PERU
SKY,SKYMARK AIRLINES INC.,JAPAN,SKYMARK
SKZ,"SKYWAY ENTERPRISES, INC. (KISSIMMEE, FL)",UNITED STATES,SKYWAY-INC
SLB,SLOK AIR LIMITED,NIGERIA,SLOK AIR
SLC,SERVICES AERIENS LATINO-AMERICAINS D/B/A SALSA S.A.,HAITI,SALSA
SLD,SILVER AIR LTD,CZECHIA,SILVERLINE
SLE,STREAMLINE NAC,SOUTH AFRICA,SLIPSTREAM
SLG,SASKATCHEWAN GOVERNMENT AIR AMBULANCE SERVICE,CANADA,LIFEGUARD
SLH,"SILVERHAWK AVIATION, INC. (SEWARD, NE)",UNITED STATES,SILVERHAWK
SLI,"AEROLITORAL, S.A. DE C.V.",MEXICO,COSTERA
SLJ,SLAM LAVORI AEREI S.R.L.,ITALY,SLAMAIR
SLK,SILKAIR (SINGAPORE) PTE LTD,SINGAPORE,SILKAIR
SLL,SKYLINK AVIATION LIMITED,KENYA,
SLM,SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.,SURINAME,SURINAM
SLN,SLOANE HELICOPTERS,UNITED KINGDOM,SLOANE
SLO,"EDGARTOWN AIR, INC. (EDGARTOWN, MA)",UNITED STATES,SLOW
SLP,SALPA AVIATION CO. LTD. (SUDAN),SUDAN,SALPA
SLQ,SKYLINK EXPRESS INC,CANADA,SKYLINK
SLR,SILVESTONE AIR SERVICES LTD,KENYA,SILVERSTONE
SLS,SUPER LEGACY XP LTD,SAN MARINO,POWER BLADE
SLT,"STARLIGHT AIRLINE STP, S.A.",SAO TOME AND PRINCIPE,STARLIGHT CARGO
SLU,AVIO SLUZBA,SERBIA,AVIO SLUZBA
SLV,STELLA AVIATION,MAURITANIA,AVISTELLA
SLW,SALAMA AIRLINES NIGERIA LIMITED,NIGERIA,SALMA AIR
SLX,SETE LINHAS AEREAS LTDA.,BRAZIL,SETE
SLY,SKY LINE FOR AIR SERVICES LTD,SUDAN,SKYCO
SLZ,SUPER LUZA,ANGOLA,LUZA
SMA,SMA AIRLINES NIG. LIMITED,NIGERIA,SESAME
SMC,COMLUX SAN MARINO,SAN MARINO,COMLUX
SMD,SMJET S.R.L.,SAN MARINO,SKYMAP
SME,SMART AVIATION COMPANY,EGYPT,
SMF,SAN MARINO EXECUTIVE AVIATION S.R.L.,SAN MARINO,SMEA
SMG,SMARTLINE LUFTFAHRT GMBH,AUSTRIA,SMARTLINE
SMH,"SMITHAIR, INC. (ATLANTA, GA)",UNITED STATES,SMITHAIR
SMI,"AERO SAMI, S.A. DE C.V.",MEXICO,SAMI
SMJ,AVIENT AVIATION,ZIMBABWE,AVAVIA
SML,SKYLINE AVIATION SRL,SAN MARINO,SKYLINE
SMM,"SUMMIT AIRLINES (PHILADELPHIA, PA)",UNITED STATES,SUMMIT-AIR
SMN,"SIMARGL LTD, AIRCOMPANY",RUSSIAN FEDERATION,SIMAVIA
SMO,"SERVICIOS AEREOS AUTOMOTRIZ, S.A. DE C.V.",MEXICO,SERVIAUTOMOTRIZ
SMP,PRIMA AVIATION S.R.L.,SAN MARINO,PRIMA AVIATION
SMQ,SAMAR AIR,TAJIKISTAN,SAMAR AIR
SMR,SOMON AIR,TAJIKISTAN,SOMON AIR
SMS,LINHAS AEREAS SANTOMENSES,SAO TOME AND PRINCIPE,SANTOMENSES
SMT,SKYLINE LTD,NIGERIA,SKYLIMIT
SMU,"SANBORN MAP COMPANY (COLORADO SPRINGS, CO)",UNITED STATES,SPRINGER
SMX,SWANTON MORLEY (RAF),UNITED KINGDOM,SWANTON
SMY,SMM FLIGHT SERVICES SA DE CV,MEXICO,CABO CACTI
SMZ,RAF SCAMPTON,UNITED KINGDOM,SCAMPTON
SNA,"LOGIC PAQ BTD, S.L.R.",DOMINICAN REPUBLIC,CANA
SNB,STERLING AIR A/S,DENMARK,STERLING
SNC,"AIR CARGO CARRIERS, INC. (MILWAUKEE, WI)",UNITED STATES,NIGHT CARGO
SND,SKYTRADERS PTY LTD,AUSTRALIA,SNOWBIRD
SNF,SUNAIR,ISRAEL,MATZADA
SNG,"LONGJIANG AIRLINES CO., LTD",CHINA,SNOW EAGLE
SNI,SAVANAH AIRLINES LIMITED,NIGERIA,SAVANAHLINE
SNJ,SOLASEED AIR INC.,JAPAN,NEWSKY
SNK,"SUN JET INTERNATIONAL, INC. D/B/A SOUTHEAST AIRLINES (LARGO, FL)",UNITED STATES,SUN KING
SNL,"SOONAIR LINES, INC. (TULSA, OK)",UNITED STATES,SOONAIR
SNM,SERVIZI AEREI SPA,ITALY,SERVIZI AEREI
SNO,"SONI AVIONES, S.A. DE C.V.",MEXICO,SONAVI
SNP,"SUN PACIFIC INTERNATIONAL, INC. (TUCSON, AZ)",UNITED STATES,SUN PACIFIC
SNQ,"SUN QUEST EXECUTIVE AIR CHARTER, INC. (PACOIMA, CA)",UNITED STATES,EXECU-QUEST
SNR,SUN AIR CO.,SUDAN,SUN GROUP
SNS,SOCIETE CENTRAFRICAINE DE TRANSPORT AERIEN,CENTRAL AFRICAN REPUBLIC,
SNT,"SUNCOAST AVIATION, INC.(CLEARWATER, FL)",UNITED STATES,SUNCOAST
SNU,SNUNIT AVIATION,ISRAEL,
SNV,SUDANESE STATES AVIATION CO. LTD,SUDAN,SUDANESE
SNW,"SUN WEST AIRLINES (SCOTTSDALE, AZ)",UNITED STATES,SUN WEST
SNZ,SANSAR AVIATION INTERNATIONAL,CANADA,
SOA,SOUTHERN AIR CHARTER,BAHAMAS,SOUTH AIRCHARTER
SOB,STABO FREIGHT LIMITED,ZAMBIA,STABO
SOC,"SERVIAEREO, S.A. DE C.V.",MEXICO,SERVIAEREO
SOD,"AEROLINEAS SOL, S.A. DE C.V.",MEXICO,ALSOL
SOE,"AIR SOLEIL, SOCIETE",MAURITANIA,AIR SOLEIL
SOF,SOL AIR,ZIMBABWE,SKY COMFORT
SOH,"SOUTHERN OHIO AVIATION SALES CO. (W. CARROLLTON, OH)",UNITED STATES,SOUTHERN OHIO
SOK,"S.A.C. INDUSTRIES, LLC (BOZEMAN, MT)",UNITED STATES,SNOW SKI
SOL,SOLOMON AIRLINES LIMITED,SOLOMON ISLANDS,SOLOMON
SOM,"AERO SALMON, S.A. DE C.V.",MEXICO,AERO-SAL
SON,ACASS IRELAND LTD.,IRELAND,SONAS
SOO,"SOUTHERN AIR, INC. (COLUMBUS, OH)",UNITED STATES,SOUTHERN AIR
SOP,SOLINAIR LTD,SLOVENIA,SOLINAIR
SOR,"SONAIR SERVICO AEREO, SARL",ANGOLA,SONAIR
SOT,"SOUTHEAST CORRECT CRAFT, INC. (ORLANDO, FL)",UNITED STATES,SOUTH COURIER
SOU,SOUTH PACIFIC AIRLINES,CHINA,PARADISE
SOW,PINK SPARROW GMBH,AUSTRIA,SPARROW
SOY,"ISLAND AVIATION, INC.",PHILIPPINES,SORIANO
SPA,"SIERRA PACIFIC AIRLINES, INC. (TUCSON, AZ)",UNITED STATES,SIERRA PACIFIC
SPB,SPRINGBOK CLASSIC AIR,SOUTH AFRICA,SPRING CLASSIC
SPC,"SKYWORLD AIRLINES (DENVER, CO)",UNITED STATES,PORT
SPD,SKY PRIME CHARTER,SAUDI ARABIA,SKY PRIME
SPE,"SPRAGUE ELECTRIC CO. (NORTH ADAMS, MA)",UNITED STATES,SPRAGUE
SPF,SPACE WORLD AIRLINE,NIGERIA,SPACE WORLD
SPG,SPEEDWINGS EXECUTIVE JET GMBH,AUSTRIA,SPEEDWING
SPH,SAPPHIRE EXECUTIVE AIR,SOUTH AFRICA,SAPPHIRE-CHARTER
SPI,"SOUTH PACIFIC ISLAND AIRWAYS, INC.",UNITED STATES,SOUTH PACIFIC
SPJ,SPECTRUM AVIATION,UNITED KINGDOM,SPECTRUM
SPK,"SOLSTAS LAB PARTNERS (GREENSBORO, NC)",UNITED STATES,SOLSTAS LAB
SPL,"SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA, S.A. DE C.V.",MEXICO,CORPORATIVOS LAGUNA
SPM,AIR SAINT PIERRE,FRANCE,
SPN,HESA AIRLINES,IRAN (ISLAMIC REPUBLIC OF),SEPAHAN
SPO,SPORAVIA S.L.,SPAIN,SPORAVIA
SPP,"SAPPHIRE AVIATION, INC. (WEST PALM BEACH, FL)",UNITED STATES,SAPPHIRE
SPR,PAL AEROSPACE LTD,CANADA,SPEEDAIR
SPS,"SPASA (SERVICIOS POLITECNICOS AEREOS, S.A.)",SPAIN,SALDUERO
SPT,SERVICIO SUPERIOR EJECUTIVO SA DE CV,MEXICO,SERVICIOS SUP
SPU,"SOUTHEAST AIRMOTIVE CORP. (CHARLOTTE, NC)",UNITED STATES,SPUTTER
SPV,"SERVICIOS PRIVADOS DE AVIACION, S.A. DE C.V.",MEXICO,SERVICIOS PRIVADOS
SPW,ROYAL SPIRIT AIRWAYS,CAMBODIA,ROYAL SPIRIT
SPX,"SERVICE PEOPLE GMBH, HAMBURG",GERMANY,
SPY,ASIAN AEROSPACE SERVICE LTD,THAILAND,THAI SPACE
SPZ,AIRWORLD (PTY) LTD,SOUTH AFRICA,SPEED SERVICE
SQA,SLOVAK NATIONAL AEROCLUB,SLOVAKIA,SLOVAK AEROCLUB
SQD,"TOMORROW S AERONAUTICAL MUSEUM, INC. (COMPTON, CA)",UNITED STATES,AERO SQUAD
SQF,SLOVAK AIR FORCE,SLOVAKIA,SLOVAK AIRFORCE
SQH,"SEAPORT AIRLINES, INC. (PORTLAND, OR)",UNITED STATES,SASQUATCH
SQM,"SIAM AIR TRANSPORT CO., LTD",THAILAND,GOLDEN FIN
SQP,SKYUP AIRLINES,UKRAINE,SKYUP
SQS,"ASI PUDJIASTUTI AVIATION, PT",INDONESIA,SKY QUEEN
SQU,AEROSPATIALLE,UNITED STATES,REMUDO
SRA,SAUDI ROYAL AVIATION,SAUDI ARABIA,SAUDI ARABIAN
SRB,SERBIAN AIR FORCE,SERBIA,SERBIAN AIR FORCE
SRC,SEARCA LTDA.,COLOMBIA,SEARCA
SRD,SEARCH AND RESCUE 22,UNITED KINGDOM,
SRE,"SERAMI, C.A.",VENEZUELA,SERAMI
SRF,TRANSPORTES AEREOS SAN RAFAEL LTDA.,CHILE,SAN RAFAEL
SRG,SEARCH AND RESCUE 202,UNITED KINGDOM,
SRH,SIEM REAP AIRWAYS INTERNATIONAL,CAMBODIA,SIEMREAP AIR
SRI,AIR SAFARIS AND SERVICES (NZ) LTD,NEW ZEALAND,AIRSAFARI
SRJ,SURIJET.COM INC.,SURINAME,SURIJET
SRK,EATIS,FRANCE,SHARK JET
SRL,"SERVICIOS AERONAUTICOS AERO PERSONAL, S.A. DE C.V.",MEXICO,SERVICIOS PERSONAL
SRM,"STARS DE MEXICO, S.A. DE C.V.",MEXICO,TARMEX
SRN,SPRINTAIR SA,POLAND,SPRINTAIR
SRO,SERVICIOS AEREOS EJECUTIVOS SAEREO S.A.,ECUADOR,SAEREO
SRP,POLIZEIHUBSCHRAUBERSTAFFEL RHEINLAND-PFALZ FLUGPLATZ WINNINGEN,GERMANY,SPERBER
SRQ,"CEBGO, INC. DBA CEBGO",PHILIPPINES,BLUE JAY
SRR,MAERSK AIR CARGO A/S,DENMARK,WHITESTAR
SRS,SOUTHERN SKY,KAZAKHSTAN,SKY SOUTH
SRT,"SERVICIOS AEREOS SURTEP, S.A. DE C.V.",MEXICO,SURTEP
SRU,STAR UP S.A.,PERU,STAR-UP
SRV,"AERO SERVICIO CORPORATIVO, S.A. DE C.V.",MEXICO,SERVICORP
SRW,SARIT AIRLINES,SUDAN,SARIA
SRX,"SIERRA EXPRESSWAY AIRLINES (OAKLAND, CA)",UNITED STATES,SIERRA EX
SRY,VIA AIRLINES,UNITED STATES,STINGRAY
SRZ,STRATO AIR SERVICES,SOUTH AFRICA,STRATO
SSA,"SKY SERVICE AVIATION, S.L.",SPAIN,STAR-JET
SSB,SUASA AIRLINES SDN BHD,MALAYSIA,SUASA AIR
SSC,"SOUTHERN SEAPLANE, INC. (BELLE CHASSE, LA)",UNITED STATES,SOUTHERN SKIES
SSE,SORENS AERO SM S.R.L.,SAN MARINO,
SSF,"SEVERSTAL, LTD AIRCOMPANY",RUSSIAN FEDERATION,SEVERSTAL
SSG,SLOVAK GOVERNMENT FLIGHT SERVICE,SLOVAKIA,SLOVAK GOVERNMENT
SSH,"HERITAGE AVIATION, INC. D/B/A HERITAGE FLIGHT, LLC (S. BURLINGTON, VT)",UNITED STATES,SNOWSHOE
SSI,VISION AIRLINES LTD,NIGERIA,SUPER JET
SSJ,"KRASAVIA, JOINT-STOCK COMPANY",RUSSIAN FEDERATION,SIBERIAN SKY
SSK,"SKYSTAR INTERNATIONAL, INC. (WASHINGTON, NJ)",UNITED STATES,SKYSTAR
SSM,SOCIEDAD DE SALVAMENTO Y SEGURIDAD MARITIMA,SPAIN,SASEMAR
SSO,S&S ORINOCO AVIATION C.A.,VENEZUELA,ORINOCO
SSP,STARSPEED LTD,UNITED KINGDOM,STARSPEED
